"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
"97","唐嫣在《王牌对王牌》中再次扮演紫萱，回忆满满呀！！","唐嫣再扮紫萱","2021-02-26","97","2021-02-26","617.14","180.95"
"98",,"杨幂玩的是张飞","2021-01-24","98","2021-01-24","1229.91","311.38"
"99","上海迪士尼噗噗熊被打🐻小孩冲过来打，事后家长态度也十分强硬！","上海迪士尼噗噗熊被打","2021-05-06","99","2021-05-06","723.78","219.36"
"100","今年春节档黑马《你好，李焕英》，票房正蹭蹭往上涨，目前总票房已破36.51亿，超越《红海行动》的36.5095亿票房，目前位列中国影史票房第六名。","你好李焕英位列中国影史票房第六名","2021-02-20","100","2021-02-20","863.29","400"
"101","追光吧哥哥中杜淳的最新顶胯舞，你们看完后是什么反应？？","杜淳顶胯","2021-01-23","101","2021-01-23","1752.91","188.77"
"102","#80后90后的压力有多大#有人问我，如果看待有些80后90后不生小孩子呀，是不喜欢吗？","80后90后的压力有多大","2021-01-17","102","2021-01-17","1219.53","199.9"
"103","明星-内地  ","baby在上海时会每天送小海绵上学","2021-04-07","103","2021-04-07","834.78","105.66"
"104","其他  ","袁隆平","2021-05-22","104","2021-05-22","728.45","124.76"
"105","无描述","华晨宇发色","2021-05-03","105","2021-05-03","1395.91","286.87"
"106","R1SE成员任豪发文谈日本福岛核废水引争议，他删博后再发文回应，“如果你的冷嘲热讽能唤起大家的重视，那我觉得骂骂我也还挺开心的”。","任豪回应","2021-04-14","106","2021-04-14","724.84","270.68"
"107","1月14日0—24时,河北新增90例本土确诊病例。","河北新增90例本土确诊","2021-01-15","107","2021-01-15","1151.77","358.11"
"108","货拉拉女乘客身亡，事发半个月后，22日，长沙警方对事发现场进行重新勘查。法医刘良认为，女孩跳窗的可能性不大。","法医称货拉拉跟车女孩跳窗可能性不大","2021-02-25","108","2021-02-25","909.56","80.68"
"109","薛之谦发长文悼念赵英俊：“16年前，不管从外观还是口音，我想我们都不会是朋友。16年后，我最难过的事，竟然是送走了你。……再见了哥，希望不久就会下雨……” ​","薛之谦悼念赵英俊","2021-02-05","109","2021-02-05","1166.55","322.97"
"110","据多位业内人士消息，原乐视影业CEO及执行董事张昭去世，终年58岁。","张昭去世","2021-02-03","110","2021-02-03","693.47","132.26"
"111","电视剧  ","陈紫函主持温客行周子舒大婚","2021-03-29","111","2021-03-29","1511.3","159.86"
"112","综艺  ","天天向上","2021-01-17","112","2021-01-17","1187.81","343.32"
"113","乐华娱乐发布声明，对网传王一博约会开红跑车的网红等言论进行辟谣，称相关言论皆为不实，已委托律所进行取证，将严肃追责。 ​","王一博方声明","2021-01-11","113","2021-01-11","749.04","195.06"
"114","无描述","周星驰 我还无法接受","2021-02-27","114","2021-02-27","1499.18","326"
"115","据@企查查 ，阿迪达斯体育（中国）有限公司于4月23日新增行政处罚，处罚机关为苏州工业园区市场监督管理局，处罚事由为违反广告内容管理规定行为及其从属。","阿迪达斯被罚","2021-05-12","115","2021-05-12","1101.57","145.5"
"116","近日，江苏邳州的宋某向法院起诉，要求撤销婚姻。此前，宋某和妻子办理结婚登记手续后，才得知妻子患有偏执型精神分裂症，且有家族病史。","婚前隐瞒精神病史法院支持撤销婚姻","2021-03-31","116","2021-03-31","1285.97","345.44"
"117","明星  ","王子文吴永恩牵手走红毯","2021-04-12","117","2021-04-12","1808.73","256.28"
"118","26日，邓超、陈赫、鹿晗在微博晒出三人合照，邓超、鹿晗调侃陈赫的脚全世界最丑。","邓超鹿晗说陈赫的脚全世界最丑","2021-05-26","118","2021-05-26","975.32","345.68"
"119","明星-内地  ","李佳航发文呼吁互相理解","2021-05-08","119","2021-05-08","680.93","164.86"
"120","张震为《缉魂》减重25斤，超标完成导演期待。“这种极致的减肥，痛苦是一定很痛苦的。”","张震为缉魂减重25斤","2021-01-17","120","2021-01-17","1854.13","253.58"
"121","沈月微博直播太好玩了，和刘以豪闫桉代云帆连麦，居然都插不上嘴，听三个男生讲发色哈哈哈","沈月直播插不上嘴","2021-05-16","121","2021-05-16","817.48","132.13"
"122","无描述","撒贝宁催婚李佳琦金靖","2021-05-10","122","2021-05-10","697.94","260.28"
"123","无描述","鹿晗 化妆不分性别","2021-05-09","123","2021-05-09","1089.44","124.78"
"124","综艺-内地综艺  ","周也孟子义开口能把人送走","2021-05-29","124","2021-05-29","728.09","158.23"
"125",,"傅首尔 真实的自卑好过虚假的自信","2021-02-04","125","2021-02-04","1855.09","346.37"
"126","财经  ","斯凯奇声明中国供应商没有强制劳工","2021-03-26","126","2021-03-26","969.87","103.8"
"127","工作室否认网传黄晓明逛夜店并有美女陪同，称2月4日起黄晓明已进组拍摄，大年三十回老家初一即刻返工，不存在现身夜店。","黄晓明工作室声明","2021-02-17","127","2021-02-17","1144.53","396.59"
"128","全国人大代表李甦雁建议，创新教育评价机制，把包括视力状况在内的学生体质健康状况纳入衡量学生综合素质的标准，作为评价地方和学校工作的重要依据，“切莫牺牲孩子的视力来换取高分数和好成绩”。","建议把视力纳入学生综合素质考核","2021-03-05","128","2021-03-05","1732.03","211.67"
"129","明星  ","高天佐道歉","2021-01-08","129","2021-01-08","1247.31","129.11"
"130","5月22日，突如其来的恶劣天气让五名越野赛选手汇集一起。此时，景泰县常生村村民朱克铭正在窑洞避雨。朱克铭把大伙带到窑洞，又生起了几堆火。随后他跑到有信号的地方，拨打了景区的救援热线。张望救援队时，朱克铭又救起一名已经失温倒地的选手。","牧羊人连救六名山地越野赛选手","2021-05-23","130","2021-05-23","827.83","158.26"
"131","@微博综艺 推荐：由特仑苏冠名的向往的生活每周五22:00，我们在一起就是向往的生活！","向往的生活","2021-04-23","131","2021-04-23","910.41","199.88"
"132","综艺  ","龚俊是去录百变大咖秀吗","2021-04-06","132","2021-04-06","1718.59","270.36"
"133","明星  ","吴孟达","2021-02-21","133","2021-02-21","1629.37","327.21"
"134","全国政协常委、中国科学院院士袁亚湘表示，不建议普通孩子学奥数，奥数只是极少数孩子去学的，不适合大范围学习。","院士不建议普通孩子学奥数","2021-03-04","134","2021-03-04","734.94","290.1"
"135","明星  ","宋仲基好帅","2021-03-15","135","2021-03-15","1650.72","326.49"
"136","3月1日起，将全面执行2020年国家医保药品目录，其中，七种罕见病治疗药物纳入医保目录。","3月1日起执行2020年医保药品目录","2021-02-28","136","2021-02-28","972.08","383.11"
"137","国家邮政局统计显示，除夕和初一两天，全国快递处理超过1.3亿件，同比增长223%。快递不打烊，春节也能买买买。给春节坚守岗位的快递小哥道一声，辛苦了！ ​","除夕初一2天全国快递超1.3亿件","2021-02-12","137","2021-02-12","1579.97","308.28"
"138","当地时间13日晚11时许，日本福岛附近海域发生里氏7.1级地震。东京等地有明显震感。","日本7.1级地震","2021-02-13","138","2021-02-13","1223.65","282.42"
"139","宁静表示她这种盲目的从团可能会给大家带来压力，抛开她姐姐们可以非常自如地去演出。","宁静回应单方面宣布退团","2021-02-24","139","2021-02-24","931.52","146.08"
"140",,"吴亦凡在台下看李雪琴演小品","2021-02-12","140","2021-02-12","1350.9","159.83"
"141","多多晒出一张照片，配文说：“我现在终于知道我和妈妈长得有多像了，因为我用我的脸打开了妈妈的手机”。","多多用自己的脸打开了孙莉手机","2021-01-13","141","2021-01-13","886.34","132.92"
"142",,"印度十万农民开拖拉机游行","2021-01-26","142","2021-01-26","1201.72","135.84"
"143","《婆婆和妈妈2》陈松伶与婆婆谈起孩子，表示自己因为身体原因放弃生育，婆婆回答豁达又暖心。","婆婆回应陈松伶放弃生育","2021-03-18","143","2021-03-18","1829.83","331.13"
"144","今年，很多人的年夜饭发生了变化。记者在云南的一些商超走访时发现，这些店铺推出了供单人和双人选择的小份制年夜饭豪华套餐，让就地过年也能过出仪式感和满足感。","一人食小份制年夜饭需求增加","2021-02-07","144","2021-02-07","1888.11","175.85"
"145",,"谈莉娜 未等到的东西会等到嘛","2021-01-05","145","2021-01-05","1388.01","313.82"
"146","中国地震台网正式测定：05月21日21时21分在云南大理州漾濞县（北纬25.63度，东经99.92度）发生6.4级地震，震源深度10千米。","大理漾濞6.4级地震","2021-05-21","146","2021-05-21","1068.6","285.93"
